Year,income,sex,Value
2007,,,92.39
2008,,,90.98
2009,,,91.53299999999999
2010,,,92.37700000000001
2011,,,92.57600000000001
2012,,,89.79799999999999
2013,,,90.26
2014,,,90.714
2015,,,90.955
2007,,male,91.09700000000001
2008,,male,91.16799999999999
2009,,male,90.435
2010,,male,91.833
2011,,male,92.616
2012,,male,89.39200000000001
2013,,male,90.62200000000001
2014,,male,91.555
2015,,male,90.00200000000001
2007,,female,93.73100000000001
2008,,female,90.78200000000001
2009,,female,92.68700000000001
2010,,female,92.949
2011,,female,92.53299999999999
2012,,female,90.21
2013,,female,89.86200000000001
2014,,female,89.852
2015,,female,91.961
2007,low,,86.476
2008,low,,88.06700000000001
2009,low,,89.575
2010,low,,89.39299999999999
2011,low,,91.571
2012,low,,84.552
2013,low,,91.234
2014,low,,91.37700000000001
2015,low,,88.73700000000001
2007,middle low,,91.646
2008,middle low,,89.098
2009,middle low,,89.559
2010,middle low,,91.404
2011,middle low,,90.569
2012,middle low,,90.22
2013,middle low,,89.20200000000001
2014,middle low,,87.88
2015,middle low,,92.87899999999999
2007,middle,,94.729
2008,middle,,91.561
2009,middle,,91.73899999999999
2010,middle,,89.684
2011,middle,,92.094
2012,middle,,90.211
2013,middle,,89.12100000000001
2014,middle,,91.45700000000001
2015,middle,,91.413
2007,middle high,,92.919
2008,middle high,,92.43700000000001
2009,middle high,,91.87100000000001
2010,middle high,,94.62
2011,middle high,,91.141
2012,middle high,,88.854
2013,middle high,,88.574
2014,middle high,,91.344
2015,middle high,,88.191
2007,high,,95.04799999999999
2008,high,,92.78399999999999
2009,high,,94.306
2010,high,,95.479
2011,high,,96.354
2012,high,,94.15100000000001
2013,high,,92.86200000000001
2014,high,,91.117
2015,high,,92.512
