Year,age,race_ethnicity,sex,Value
2000,,,,0.0
2001,,,,0.0
2002,,,,0.0
2003,,,,0.0
2004,,,,0.0
2005,,,,0.0
2006,,,,0.0
2007,,,,0.0
2008,,,,19.0
2009,,,,17.9
2010,,,,16.9
2011,,,,16.1
2012,,,,15.7
2013,,,,14.9
2014,,,,15.1
2015,,,,14.8
2016,,,,14.6
2017,,,,14.0
2000,,,male_13_pls_y,0.0
2001,,,male_13_pls_y,0.0
2002,,,male_13_pls_y,0.0
2003,,,male_13_pls_y,0.0
2004,,,male_13_pls_y,0.0
2005,,,male_13_pls_y,0.0
2006,,,male_13_pls_y,0.0
2007,,,male_13_pls_y,0.0
2008,,,male_13_pls_y,29.5
2009,,,male_13_pls_y,28.2
2010,,,male_13_pls_y,27.0
2011,,,male_13_pls_y,26.0
2012,,,male_13_pls_y,25.7
2013,,,male_13_pls_y,24.6
2014,,,male_13_pls_y,25.0
2015,,,male_13_pls_y,24.7
2016,,,male_13_pls_y,24.1
2017,,,male_13_pls_y,23.1
2000,,,female_13_pls_y,0.0
2001,,,female_13_pls_y,0.0
2002,,,female_13_pls_y,0.0
2003,,,female_13_pls_y,0.0
2004,,,female_13_pls_y,0.0
2005,,,female_13_pls_y,0.0
2006,,,female_13_pls_y,0.0
2007,,,female_13_pls_y,0.0
2008,,,female_13_pls_y,9.0
2009,,,female_13_pls_y,8.0
2010,,,female_13_pls_y,7.2
2011,,,female_13_pls_y,6.6
2012,,,female_13_pls_y,6.2
2013,,,female_13_pls_y,5.7
2014,,,female_13_pls_y,5.6
2015,,,female_13_pls_y,5.4
2016,,,female_13_pls_y,5.4
2017,,,female_13_pls_y,5.2
2000,13_24_y,,,0.0
2001,13_24_y,,,0.0
2002,13_24_y,,,0.0
2003,13_24_y,,,0.0
2004,13_24_y,,,0.0
2005,13_24_y,,,0.0
2006,13_24_y,,,0.0
2007,13_24_y,,,0.0
2008,13_24_y,,,16.8
2009,13_24_y,,,17.3
2010,13_24_y,,,17.6
2011,13_24_y,,,17.5
2012,13_24_y,,,17.5
2013,13_24_y,,,16.8
2014,13_24_y,,,17.4
2015,13_24_y,,,17.4
2016,13_24_y,,,16.6
2017,13_24_y,,,15.7
2000,25_34_y,,,0.0
2001,25_34_y,,,0.0
2002,25_34_y,,,0.0
2003,25_34_y,,,0.0
2004,25_34_y,,,0.0
2005,25_34_y,,,0.0
2006,25_34_y,,,0.0
2007,25_34_y,,,0.0
2008,25_34_y,,,30.8
2009,25_34_y,,,29.1
2010,25_34_y,,,28.6
2011,25_34_y,,,27.7
2012,25_34_y,,,28.2
2013,25_34_y,,,27.7
2014,25_34_y,,,29.1
2015,25_34_y,,,29.6
2016,25_34_y,,,30.4
2017,25_34_y,,,29.3
2000,35_44_y,,,0.0
2001,35_44_y,,,0.0
2002,35_44_y,,,0.0
2003,35_44_y,,,0.0
2004,35_44_y,,,0.0
2005,35_44_y,,,0.0
2006,35_44_y,,,0.0
2007,35_44_y,,,0.0
2008,35_44_y,,,30.3
2009,35_44_y,,,27.7
2010,35_44_y,,,24.9
2011,35_44_y,,,22.6
2012,35_44_y,,,21.2
2013,35_44_y,,,19.5
2014,35_44_y,,,19.8
2015,35_44_y,,,19.0
2016,35_44_y,,,18.5
2017,35_44_y,,,17.9
2000,45_54_y,,,0.0
2001,45_54_y,,,0.0
2002,45_54_y,,,0.0
2003,45_54_y,,,0.0
2004,45_54_y,,,0.0
2005,45_54_y,,,0.0
2006,45_54_y,,,0.0
2007,45_54_y,,,0.0
2008,45_54_y,,,21.5
2009,45_54_y,,,19.7
2010,45_54_y,,,18.4
2011,45_54_y,,,17.6
2012,45_54_y,,,16.9
2013,45_54_y,,,15.7
2014,45_54_y,,,15.0
2015,45_54_y,,,14.7
2016,45_54_y,,,14.0
2017,45_54_y,,,13.3
2000,,black_nh,,0.0
2001,,black_nh,,0.0
2002,,black_nh,,0.0
2003,,black_nh,,0.0
2004,,black_nh,,0.0
2005,,black_nh,,0.0
2006,,black_nh,,0.0
2007,,black_nh,,0.0
2008,,black_nh,,73.9
2009,,black_nh,,68.5
2010,,black_nh,,64.3
2011,,black_nh,,60.3
2012,,black_nh,,57.2
2013,,black_nh,,53.9
2014,,black_nh,,53.9
2015,,black_nh,,53.1
2016,,black_nh,,52.0
2017,,black_nh,,49.8
2000,,white_nh,,0.0
2001,,white_nh,,0.0
2002,,white_nh,,0.0
2003,,white_nh,,0.0
2004,,white_nh,,0.0
2005,,white_nh,,0.0
2006,,white_nh,,0.0
2007,,white_nh,,0.0
2008,,white_nh,,7.5
2009,,white_nh,,7.1
2010,,white_nh,,6.8
2011,,white_nh,,6.5
2012,,white_nh,,6.5
2013,,white_nh,,6.2
2014,,white_nh,,6.2
2015,,white_nh,,6.1
2016,,white_nh,,5.9
2017,,white_nh,,5.9
2000,,hispanic,,0.0
2001,,hispanic,,0.0
2002,,hispanic,,0.0
2003,,hispanic,,0.0
2004,,hispanic,,0.0
2005,,hispanic,,0.0
2006,,hispanic,,0.0
2007,,hispanic,,0.0
2008,,hispanic,,28.3
2009,,hispanic,,26.7
2010,,hispanic,,24.3
2011,,hispanic,,23.3
2012,,hispanic,,22.9
2013,,hispanic,,21.9
2014,,hispanic,,22.7
2015,,hispanic,,22.3
2016,,hispanic,,22.2
2017,,hispanic,,20.8
